Name,IMDB Rating,Duration,Year,Age,Genres
The Legend of Tarzan,6.3,109 min,2016,13+,Action/Adventure
The Conjuring 2,7.4,133 min,2016,18+,"Horror, Thriller"
Anomalisa,7.3,90 min,2015,18+,"Animated, Drama: Mature"
Baghtos Kay Mujra Kar,8.8,141 min,2017,NR,"Drama: Family, Drama: Mystery, Romance: Drama, World Cinema: Indian"
13 Hours: The Secret Soldiers of Benghazi,7.3,144 min,2016,NR,Drama
Zoolander 2,4.8,101 min,2016,NR,Comedy
Shivaay,6.5,153 min,2016,13+,"Bollywood: Action/Adventure, Bollywood: Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian"
Ae Dil Hai Mushkil,5.8,155 min,2016,13+,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian"
Baar Baar Dekho,5.2,135 min,2016,13+,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, Sci-Fi/Fantasy, World Cinema: Indian"
Shor Se Shuruaat,7.3,122 min,2016,13+,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian"
Kabali,6.6,143 min,2016,All Ages,"Action/Adventure: Crime, Drama: Crime, World Cinema: Indian"
Gangster,6.6,139 min,2016,18+,"Romance, Romance: Thriller, World Cinema: Indian"
Magic Mike XXL,5.7,115 min,2015,18+,"Comedy: Drama, Comedy: Mature, Music/Musical: Ballet/Dance"
Wajah Tum Ho,4.3,130 min,2016,18+,"Bollywood: Thriller, Thriller: Crime, Thriller: Drama, Thriller: Mystery, World Cinema: Indian"
Sultan,7.2,169 min,2016,13+,"Bollywood: Drama, Drama: Bollywood, Drama: Romance, Sport: Wrestling, World Cinema: Indian"
Terminator Genisys,6.5,125 min,2015,13+,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Robots"
Get Hard,6,100 min,2015,18+,"Comedy: Crime, Comedy: Mature"
Tum Bin II,4.9,140 min,2016,13+,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian"
Hamari Adhuri Kahani,6.6,128 min,2015,All Ages,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian"
Khawto,6.6,131 min,2016,18+,"Thriller: Drama, Thriller: Romance, World Cinema: Indian"
Rock On 2,5,141 min,2016,NR,"Drama: Musical, World Cinema: Indian"
Striptease,4.3,115 min,1996,18+,"Comedy: Crime, Comedy: Drama, Comedy: Mature"
Batman v Superman: Dawn of Justice,6.7,151 min,2016,13+,Action/Adventure: Superheroes
Kapoor & Sons,7.8,137 min,2016,13+,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian"
Humpty Sharma Ki Dulhania,6,131 min,2014,13+,"Bollywood: Drama, Drama: Bollywood, Drama: Comedy, Drama: Romance, World Cinema: Indian"
She’s Out of My League,6.4,104 min,2010,18+,"Comedy, Comedy: Mature"
Rocket Singh Salesman of the Year,7.5,154 min,2009,13+,"Bollywood: Comedy, Bollywood: Drama, Comedy: Drama, Drama: Bollywood, Drama: Comedy, World Cinema: Indian"
Mission: Impossible – Rogue Nation,7.4,131 min,2015,13+,"Action/Adventure: Espionage & Spies, Action/Adventure: Thriller, Thriller: Action/Adventure"
The Dictator,6.4,83 min,2012,18+,Comedy: Mature
Detective Byomkesh Bakshy,7.7,138 min,2015,16+,"Bollywood, Bollywood: Thriller, Thriller, Thriller: Crime, Thriller: Mystery, World Cinema: Indian"
EIC: Outrage,n/a,63 min,2017,NR,"Comedy: Stand-up, World Cinema: Indian"
Naveen Richard: Don’t Make That Face,n/a,56 min,2017,NR,"Comedy: Stand-up, World Cinema: Indian"
Jack Reacher,7,130 min,2012,13+,"Action/Adventure: Espionage & Spies, Drama: Crime, Drama: Mystery"
Dum Laga Ke Haisha,7.5,110 min,2015,NR,"Bollywood, Bollywood: Drama, Drama, Drama: Bollywood, Drama: Comedy, Drama: Romance, World Cinema: Indian"
Shaandaar,3.6,142 min,2015,13+,"Bollywood: Comedy, Comedy: Drama, Comedy: Romance, World Cinema: Indian"
Sliver,4.9,106 min,1993,18+,"Drama: Crime, Drama: Mystery, Drama: Thriller, Thriller: Drama, Thriller: Mystery"
Kaashmora,5.7,161 min,2016,13+,"Horror: Comedy, Horror: Ghosts/Supernatural, World Cinema: Indian"
Kabali,6.6,143 min,2016,All Ages,"Action/Adventure: Crime, Drama: Crime, World Cinema: Indian"
Fan,7.3,138 min,2016,13+,"Bollywood: Drama, Bollywood: Thriller, Drama: Bollywood, Drama: Crime, Thriller: Drama, World Cinema: Indian"
Tum Bin II,4.9,140 min,2016,13+,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian"
Ae Dil Hai Mushkil,5.8,155 min,2016,13+,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian"
Shivaay,6.5,153 min,2016,13+,"Bollywood: Action/Adventure, Bollywood: Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian"
13 Hours: The Secret Soldiers of Benghazi,7.3,144 min,2016,NR,Drama
The Conjuring 2,7.4,133 min,2016,18+,"Horror, Thriller"
The Legend of Tarzan,6.3,109 min,2016,13+,Action/Adventure
Sultan,7.2,169 min,2016,13+,"Bollywood: Drama, Drama: Bollywood, Drama: Romance, Sport: Wrestling, World Cinema: Indian"
Baar Baar Dekho,5.2,135 min,2016,13+,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, Sci-Fi/Fantasy, World Cinema: Indian"
Wajah Tum Ho,4.3,130 min,2016,18+,"Bollywood: Thriller, Thriller: Crime, Thriller: Drama, Thriller: Mystery, World Cinema: Indian"
Dil Dhadakne Do,6.8,171 min,2015,13+,"Bollywood: Drama, Drama: Bollywood, Drama: Comedy, Drama: Romance, World Cinema: Indian"
Baghtos Kay Mujra Kar,8.8,141 min,2017,NR,"Drama: Family, Drama: Mystery, Romance: Drama, World Cinema: Indian"
Yeh Jawaani Hai Deewani,7,160 min,2013,13+,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian"
Sarbjit,7.3,126 min,2016,13+,"Bollywood: Drama, Drama: Biography, Drama: Bollywood, Drama: Historical, Drama: Political, World Cinema: Indian"
Middle Men,6.6,112 min,2010,18+,"Comedy: Crime, Drama: Comedy, Drama: Crime, Drama: Historical"
Student Of The Year,5.5,145 min,2012,13+,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian"
Hamari Adhuri Kahani,6.6,128 min,2015,All Ages,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian"
Piku,7.6,117 min,2015,13+,"Bollywood: Comedy, Bollywood: Drama, Comedy: Drama, Drama: Bollywood, Drama: Comedy, World Cinema: Indian"
Ab…Bas,3.4,138 min,2004,18+,"Bollywood, Bollywood: Drama, Drama, Drama: Bollywood, World Cinema: Indian"
Terminator Genisys,6.5,125 min,2015,13+,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Robots"
Theri,7.2,150 min,2016,All Ages,"Action/Adventure: Crime, Drama: Crime, Drama: Romance, World Cinema: Indian"
Road Trip,6.5,93 min,2000,18+,"Comedy: Action/Adventure, Comedy: Mature"
Collateral,7.6,119 min,2004,18+,"Action/Adventure: Crime, Drama: Crime, Drama: Thriller, Thriller: Drama"
Zindagi Na Milegi Dobara,8.1,153 min,2011,All Ages,"Bollywood: Drama, Drama: Bollywood, Drama: Comedy, Drama: Romance, World Cinema: Indian"
Forrest Gump,8.8,142 min,1994,13+,"Comedy: Drama, Drama: Comedy, Drama: Romance"
The Godfather,9.2,177 min,1972,NR,Drama: Crime
Into The Wild,8.1,148 min,2007,18+,"Action/Adventure, Drama: Biography"
Love Games,4.3,108 min,2016,18+,"Bollywood: Drama, Bollywood: Thriller, Drama: Bollywood, Drama: Mature, Drama: Thriller, Thriller: Crime, World Cinema: Indian"
Ladies vs Ricky Bahl,6,139 min,2011,13+,"Bollywood: Comedy, Bollywood: Romance, Comedy: Romance, Romance: Drama, World Cinema: Indian"
Lakshya,7.9,177 min,2004,NR,"Bollywood: Drama, Drama: Bollywood, Drama: War, World Cinema: Indian"
The Curious Case Of Benjamin Button,7.8,166 min,2008,13+,"Drama: Romance, Romance: Drama, Sci-Fi/Fantasy"
Zoolander 2,4.8,101 min,2016,NR,Comedy
Brothers,6.7,155 min,2015,13+,"Bollywood: Drama, Drama: Bollywood, Sport: Boxing, World Cinema: Indian"
Munich (2005),7.6,163 min,2005,18+,"Drama: Crime, Drama: Historical, Drama: Political, Drama: Thriller, Thriller: Drama, Thriller: Political"
Chak De India,8.3,148 min,2007,7+,"Bollywood, Bollywood: Drama, Drama, Drama: Bollywood, Sport, World Cinema: Indian"
Dil Chahta Hai,8.2,183 min,2001,All Ages,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Comedy, Drama: Romance, Romance: Drama, World Cinema: Indian"
Titli,7.6,111 min,2015,18+,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian"
Badmaash Company,6,141 min,2010,13+,"Bollywood, Bollywood: Drama, Drama, Drama: Crime, Drama: Romance, World Cinema: Indian"
Bewakoofiyaan,5.5,117 min,2014,13+,"Bollywood: Comedy, Bollywood: Drama, Comedy: Drama, Comedy: Romance, Drama: Bollywood, Drama: Comedy, World Cinema: Indian"
Vangaveeti,6.7,139 min,2016,18+,"Drama: Crime, Drama: Political, World Cinema: Indian"
Andaz Apna Apna,8.4,153 min,1994,All Ages,"Bollywood: Comedy, Bollywood: Romance, Comedy, Romance, World Cinema: Indian"
Befikre – Trailer,3.6,2 min,2016,NR,"Drama: Comedy, Romance"
Dhruvangal Pathinaru,n/a,104 min,2016,13+,"Thriller: Crime, Thriller: Mystery, Thriller: Psychological"
Raaz Reboot,4.5,127 min,2016,18+,"Bollywood: Horror, Horror: Ghosts/Supernatural, World Cinema: Indian"
Junooniyat,4.3,122 min,2016,All Ages,"Bollywood: Romance, Romance: Drama, World Cinema: Indian"
Ghost,7,126 min,1990,18+,"Drama, Drama: Crime, Romance"
War of the Worlds (2005),6.5,116 min,2005,13+,"Action/Adventure: Sci-fi/Fantasy, Action/Adventure: Thriller, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien, Sci-Fi/Fantasy: Thriller"
Escape From Alcatraz,7.6,111 min,1979,7+,"Action/Adventure: Crime, Drama: Biography"
Talaash,7.3,138 min,2012,13+,"Bollywood: Thriller, Thriller: Drama, Thriller: Mystery, World Cinema: Indian"
Jab Tak Hai Jaan,6.9,176 min,2012,13+,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian"
Hasee Toh Phasee,6.9,134 min,2014,13+,"Bollywood: Comedy, Bollywood: Drama, Comedy: Drama, Drama: Bollywood, Drama: Comedy, World Cinema: Indian"
Eyes Wide Shut,7.3,159 min,1999,18+,"Drama: Mystery, Drama: Thriller, Erotic"
Young Adult,6.3,93 min,2011,18+,"Comedy: Drama, Drama: Comedy"
Murder,5.4,128 min,2004,NR,"Bollywood: Thriller, Bollywood: Romance, Romance: Thriller, Thriller: Crime, Thriller: Drama, World Cinema: Indian"
Top Gun,6.9,109 min,1986,7+,"Action/Adventure: Thriller, Drama: Romance"
Hugo,7.5,126 min,2011,7+,"Family: Action/Adventure, Family: Drama"
No Country for Old Men,8.1,122 min,2007,18+,"Drama: Crime, Drama: Thriller, Thriller: Action/Adventure, Thriller: Crime, Thriller: Drama"
Exorcist: The Beginning,5.1,113 min,2004,18+,"Horror, Thriller: Mystery, Thriller"
Band Baaja Baaraat,7.3,139 min,2010,7+,"Bollywood, Bollywood: Comedy, Bollywood: Drama, Bollywood: Romance, Drama, Drama: Bollywood, Romance, World Cinema: Indian"
Saving Private Ryan,8.6,169 min,1998,18+,"Action/Adventure: Epic, Action/Adventure: Historical, Action/Adventure: War, Drama: War"
Shor Se Shuruaat,7.3,122 min,2016,13+,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian"
Get Hard,6,100 min,2015,18+,"Comedy: Crime, Comedy: Mature"
Anomalisa,7.3,90 min,2015,18+,"Animated, Drama: Mature"
Minority Report,7.7,145 min,2002,18+,"Action/Adventure: Crime, Action/Adventure: Sci-fi/Fantasy, Drama: Thriller, Sci-Fi/Fantasy: Action/Adventure"
Luv Ka The End,4.8,106 min,2011,NR,"Bollywood: Comedy, Bollywood: Drama, Comedy: Drama, Drama: Bollywood, Drama: Comedy, World Cinema: Indian"
Don 2,7.1,145 min,2011,13+,"Action/Adventure: Crime, Bollywood: Action/Adventure, World Cinema: Indian"
The Godfather Part II,9,202 min,1974,18+,"Drama: Crime, Drama: Historical"
Mystic River,8,137 min,2003,18+,"Action/Adventure, Drama: Mystery, Drama: Crime, Thriller, Action/Adventure: Crime"
The Ring,7.1,115 min,2002,13+,Horror: Ghosts/Supernatural
Dostana,6.5,142 min,2008,13+,"Bollywood: Comedy, Comedy: Drama, Comedy: Romance, World Cinema: Indian"
World War Z,7,116 min,2013,13+,"Action/Adventure: Sci-fi/Fantasy, Horror: Zombies, Sci-Fi/Fantasy: Action/Adventure"
Family Katta,8.3,124 min,2016,All Ages,"Drama, World Cinema: Indian"
Bachna Ae Haseeno,6.2,152 min,2008,13+,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Comedy, Romance: Drama, World Cinema: Indian"
Gippi,5.6,93 min,2013,13+,"Bollywood: Comedy, Bollywood: Drama, Drama: Bollywood, Teen: Comedy, Teen: Drama, World Cinema: Indian"
Shuddh Desi Romance,5.8,126 min,2013,13+,"Bollywood, Bollywood: Drama, Bollywood: Romance, Drama, Drama: Bollywood, Drama: Comedy, Romance, World Cinema: Indian"
Orphan,7,122 min,2009,18+,"Horror: Thriller, Thriller: Horror, Thriller: Mystery"
Darling,3.8,126 min,2007,18+,"Bollywood: Horror, Horror: Ghosts/Supernatural, World Cinema: Indian"
Live Die Repeat: Edge of Tomorrow,7.9,113 min,2014,13+,"Action/Adventure, Action/Adventure: War, Sci-Fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure"
Rab Ne Bana Di Jodi,7.2,163 min,2008,13+,"Bollywood, Bollywood: Drama, Bollywood: Romance, Drama, Drama: Bollywood, Drama: Comedy, Romance, World Cinema: Indian"
Hum Tum,7.1,142 min,2004,7+,"Bollywood: Comedy, Bollywood: Drama, Bollywood: Romance, Comedy: Drama, Romance: Drama, World Cinema: Indian"
My Dad Thinks He’s Funny,7.4,62 min,2017,NR,"Comedy: Stand-up, World Cinema: Indian"
Fukrey,6.9,135 min,2013,13+,"Bollywood: Comedy, Bollywood: Drama, Comedy: Drama, Drama: Bollywood, Drama: Comedy, World Cinema: Indian"
Mission: Impossible III,6.9,125 min,2006,13+,"Action/Adventure: Espionage & Spies, Thriller: Action/Adventure"
Richie Rich (1994),,94 min,1994,7+,"Comedy: Family, Family: Comedy"
Obsessive Comedic Disorder,8,80 min,2016,18+,World Cinema: Indian
Salaam Namaste,6.2,158 min,2005,13+,"Bollywood, Bollywood: Drama, Bollywood: Romance, Drama, Drama: Bollywood, Drama: Comedy, Romance, World Cinema: Indian"
Citylights,7.2,126 min,2014,13+,"Bollywood, Bollywood: Drama, Drama, Drama: Bollywood, Drama: Crime, Drama: Thriller, World Cinema: Indian"
Up in the Air,7.4,109 min,2009,18+,Drama
The Devil’s Advocate,7.5,144 min,1997,18+,"Drama: Mystery, Drama: Thriller"
The Italian Job (2003),7,110 min,2003,13+,Action/Adventure: Crime
Daawat-e-Ishq,6.2,118 min,2014,7+,"Bollywood: Comedy, Bollywood: Romance, Comedy: Romance, Romance: Drama, World Cinema: Indian"
A Perfect Murder,6.5,107 min,1998,18+,"Drama: Crime, Drama: Thriller, Thriller: Crime, Thriller: Drama"
Mujhse Fraaandship Karoge,7,104 min,2011,NR,"Bollywood: Romance, Romance: Comedy, Romance: Drama, World Cinema: Indian"
Dhoom:3,5.4,170 min,2013,13+,"Action/Adventure: Crime, Action/Adventure: Thriller, Bollywood: Action/Adventure, World Cinema: Indian"
Veer Zaara,7.9,192 min,2004,All Ages,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian"
Four Brothers,6.9,108 min,2005,18+,"Action/Adventure: Crime, Drama: Crime"
Black Hawk Down,7.7,144 min,2002,18+,"Action/Adventure, Action/Adventure: War, Drama, Drama: Historical, Drama: War"
Transformers: Age of Extinction,5.7,165 min,2014,13+,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Robots"
Ek Tha Tiger,5.4,132 min,2012,13+,"Action/Adventure: Espionage & Spies, Bollywood: Action/Adventure, Bollywood: Romance, Romance: Action/Adventure, World Cinema: Indian"
John Grisham’s The Rainmaker,7.1,135 min,1997,18+,"Drama, Drama: Crime, Thriller: Drama"
The Prestige,8.5,130 min,2006,13+,"Drama: Crime, Drama: Historical, Drama: Mystery, Drama: Thriller, Thriller: Sci-Fi/Fantasy"
Lemony Snicket’s Series Of Unfortunate Events (DreamWorks),6.8,107 min,2004,7+,"Family: Action/Adventure, Family: Comedy"
Gangster,6.6,139 min,2016,18+,"Romance, Romance: Thriller, World Cinema: Indian"
Phas Gaye Re Obama,7.5,115 min,2010,18+,"Bollywood: Comedy, Comedy: Crime, World Cinema: Indian"
Neal n Nikki,3.3,101 min,2005,13+,"Bollywood: Comedy, Comedy: Drama, Comedy: Romance, World Cinema: Indian"
Kabhi Alvida Naa Kehna,6.1,191 min,2006,13+,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian"
Shahid,8.3,112 min,2013,13+,"Bollywood: Drama, Drama: Biography, Drama: Bollywood, Drama: Political, World Cinema: Indian"
Dilwale Dulhania Le Jayenge,8.2,189 min,1995,7+,"Bollywood, Bollywood: Romance, Romance, Romance: Drama, World Cinema: Indian"
Annabelle (2014),5.4,98 min,2014,18+,"Thriller, Horror"
Kamla Ki Maut,7.5,94 min,1989,18+,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian"
Ta Ra Rum Pum,5.5,155 min,2007,7+,"Bollywood, Bollywood: Drama, Bollywood: Romance, Drama, Drama: Bollywood, Romance, World Cinema: Indian"
Dhoom:2,6.4,151 min,2006,13+,"Action/Adventure, Action/Adventure: Crime, Bollywood, Bollywood: Action/Adventure, World Cinema: Indian"
Revolutionary Road,7.3,118 min,2008,18+,Drama
The Hunt for Red October,7.6,135 min,1990,7+,"Action/Adventure: Espionage & Spies, Action/Adventure: Thriller, Drama: Political, Thriller: Action/Adventure"
Ace Ventura: Pet Detective,6.9,85 min,1994,13+,"Comedy, Comedy: Slapstick"
Mean Girls,7,96 min,2004,18+,"Teen: Comedy, Teen: Drama"
Poseidon,5.6,98 min,2006,13+,"Action/Adventure: Thriller, Thriller: Action/Adventure"
Joker,8.8,129 min,2016,All Ages,"Drama: Political, World Cinema: Indian"
Love Story,6.9,100 min,1970,7+,"Drama: Romance, Romance: Drama"
A Beautiful Mind,8.2,135 min,2001,13+,"Drama, Drama: Biography, Drama: Historical"
Breakfast at Tiffany’s,7.7,114 min,1961,NR,"Comedy, Romance"
New York,6.8,151 min,2009,13+,"Bollywood: Thriller, Thriller: Crime, Thriller: Drama, World Cinema: Indian"
Shooter,7.2,125 min,2007,18+,"Action/Adventure: Crime, Drama: Crime"
Bangistan,4.6,132 min,2015,13+,"Bollywood: Comedy, Comedy: Crime, Comedy: Drama, World Cinema: Indian"
Krishnagadi Veera Prema Gaadha,7.7,145 min,2016,13+,"Comedy: Romance, Drama: Comedy, World Cinema: Indian"
The Untouchables,7.9,119 min,1987,18+,"Drama: Crime, Drama: Historical, Drama: Thriller, Thriller: Crime, Thriller: Drama"
Murder 3,4.8,123 min,2013,13+,"Bollywood, Bollywood: Thriller, Thriller, Thriller: Drama, World Cinema: Indian"
Kabul Express,6.9,104 min,2006,16+,"Bollywood: Action/Adventure, World Cinema: Indian"
Watchmen,7.6,162 min,2009,18+,"Action/Adventure: Superheroes, Drama: Mystery"
Rocknrolla,7.3,114 min,2008,18+,"Action/Adventure: Crime, Thriller: Crime"
Primal Fear,7.7,130 min,1996,18+,"Drama: Crime, Drama: Mystery, Thriller: Drama"
Kal Ho Naa Ho,8,187 min,2003,All Ages,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian"
Star Trek Into Darkness,7.8,132 min,2013,13+,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien"
Khawto,6.6,131 min,2016,18+,"Thriller: Drama, Thriller: Romance, World Cinema: Indian"
Magic Mike XXL,5.7,115 min,2015,18+,"Comedy: Drama, Comedy: Mature, Music/Musical: Ballet/Dance"
Krazzy 4,4.1,109 min,2008,13+,"Bollywood: Comedy, Comedy: Drama, World Cinema: Indian"
Old School,7.2,90 min,2003,18+,"Comedy, Comedy: Mature"
Siddhartha,5.9,124 min,2016,18+,"Drama: Romance, Romance: Drama, World Cinema: Indian"
Pyaar Impossible,4.7,140 min,2010,7+,"Bollywood: Comedy, Bollywood: Romance, Comedy: Romance, Romance: Drama, World Cinema: Indian"
Police Academy,6.7,96 min,1984,18+,Comedy: Crime
Fanaa,7.2,168 min,2006,13+,"Bollywood, Bollywood: Drama, Bollywood: Romance, Drama, Drama: Bollywood, Drama: Crime, Romance, World Cinema: Indian"
Payback (1999),7.1,101 min,1999,18+,"Action/Adventure: Crime, Drama: Crime"
Mere Brother Ki Dulhan,5.9,139 min,2011,13+,"Bollywood: Comedy, Bollywood: Romance, Comedy: Drama, Comedy: Romance, Romance: Drama, World Cinema: Indian"
Star Trek (2009),8,126 min,2009,13+,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien"
Darr@ The Mall,5,115 min,2014,13+,"Bollywood: Horror, Bollywood: Thriller, Horror: Ghosts/Supernatural, Horror: Thriller, Thriller: Horror, World Cinema: Indian"
Rajadhiraja,7.6,131 min,2015,All Ages,"Drama, World Cinema: Indian"
The English Patient,7.4,161 min,1996,18+,"Drama: War, Drama: Romance, Romance: Drama"
Thoda Pyaar Thoda Magic,4.9,136 min,2008,7+,"Bollywood: Drama, Drama: Bollywood, Drama: Comedy, Drama: Romance, World Cinema: Indian"
Into the Storm (2014),5.8,89 min,2014,13+,"Action/Adventure: Thriller, Thriller: Action/Adventure"
Transformers: Dark of the Moon,6.3,154 min,2011,13+,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien, Sci-Fi/Fantasy: Sci-fi – Robots"
Cast Away,7.7,143 min,2000,13+,"Action/Adventure: Epic, Drama"
Gori Tere Pyaar Mein,5,144 min,2013,13+,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Comedy, Drama: Romance, Romance: Drama, World Cinema: Indian"
Kites,6.1,117 min,2010,13+,"Bollywood: Action/Adventure, Bollywood: Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian"
Prem Ratan Dhan Payo,4.8,163 min,2015,All Ages,"Bollywood: Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian"
Mere Dad Ki Maruti,6.5,101 min,2013,NR,"Bollywood: Comedy, Comedy: Drama, World Cinema: Indian"
Sweet November (2001),6.7,120 min,2001,13+,"Drama: Romance, Romance: Drama"
The Godfather Part III,7.6,170 min,1990,18+,"Drama: Crime, Drama: Historical"
Patiala House,5.9,140 min,2011,All Ages,"Bollywood: Drama, Drama: Bollywood, Drama: Comedy, Drama: Romance, Sport: Cricket, World Cinema: Indian"
Transformers,7.1,143 min,2007,13+,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Robots"
The Good Shepherd,6.7,167 min,2006,18+,"Drama: Historical, Drama: Political, Drama: Thriller, Thriller: Drama, Thriller: Political"
The Sum of All Fears,6.4,123 min,2002,18+,"Action/Adventure: Espionage & Spies, Action/Adventure: Thriller, Thriller: Action/Adventure"
Transformers: Revenge of the Fallen,6,149 min,2009,13+,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure"
Journey to the Center of the Earth (2008),5.8,92 min,2008,7+,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure"
The Firm,6.8,154 min,1993,18+,"Drama: Mystery, Thriller: Mystery"
Youngistaan,5.2,124 min,2014,13+,"Bollywood: Drama, Drama: Bollywood, Drama: Political, Drama: Romance, World Cinema: Indian"
Socha Na Tha,7.6,137 min,2005,All Ages,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian"
Jannat,6.8,140 min,2008,13+,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Crime, Drama: Romance, Romance: Drama, World Cinema: Indian"
Ungli,5.8,113 min,2014,13+,"Bollywood: Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian"
Valentine’s Day (2010),5.7,124 min,2010,13+,Comedy: Romance
Dumb and Dumber,7.3,106 min,1994,13+,"Comedy, Comedy: Slapstick"
Mr.X,3.7,124 min,2015,13+,"Bollywood: Thriller, Sci-Fi/Fantasy: Thriller, Thriller: Crime, Thriller: Drama, Thriller: Sci-Fi/Fantasy, World Cinema: Indian"
Heropanti,5.4,137 min,2014,13+,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian"
The Devil Inside,4.2,83 min,2012,18+,Horror: Ghosts/Supernatural
Aaha Kalyanam,6.2,141 min,2014,13+,"Comedy: Drama, Comedy: Romance, World Cinema: Indian"
Bhool Bhulaiyaa,7.3,148 min,2007,13+,"Bollywood: Drama, Drama: Bollywood, Drama: Mystery, Thriller: Psychological, World Cinema: Indian"
Ishaqzaade,6.6,131 min,2012,NR,"Action, Bollywood, Bollywood: Drama, Bollywood: Romance, Drama, Drama: Bollywood, Romance, World Cinema: Indian"
Like Crazy,6.7,90 min,2011,18+,"Drama: Romance, Romance: Drama"
Ace Ventura: When Nature Calls,6.3,93 min,1995,13+,"Comedy, Comedy: Slapstick"
Miss Congeniality,6.2,110 min,2000,13+,"Comedy: Action/Adventure, Comedy: Crime, Comedy: Romance"
Time Please,7.1,126 min,2013,13+,"Drama: Comedy, Drama: Romance, World Cinema: Indian"
Happy Journey,7.5,123 min,2014,13+,"Drama, World Cinema: Indian"
Ajab Gazabb Love,4.1,114 min,2012,13+,"Bollywood: Comedy, Bollywood: Drama, Comedy: Drama, Comedy: Romance, Drama: Bollywood, World Cinema: Indian"
How to Lose A Guy In 10 Days,6.4,115 min,2003,18+,"Comedy, Comedy: Romance"
Sleepy Hollow,7.4,105 min,1999,18+,Horror: Sci-Fi/Fantasy
Aurangzeb,6.6,137 min,2013,16+,"Bollywood, Bollywood: Action/Adventure, Bollywood: Drama, Bollywood: Thriller, Drama, World Cinema: Indian"
Beyond Borders,6.5,126 min,2003,18+,"Action/Adventure, Drama, Drama: Historical, Drama: Political, Romance, Romance: Thriller"
